Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera
SHITOMASI, ORB,5,12.7299,11.7035
SHITOMASI, ORB,6,13.7511,13.5266
SHITOMASI, ORB,7,13.7314,13.2491
SHITOMASI, ORB,8,13.7901,12.0155
SHITOMASI, ORB,9,12.059,11.3526
,,,,
SHITOMASI, FREAK,0, ,
SHITOMASI, FREAK,1,12.2891,13.7616
SHITOMASI, FREAK,2,13.3547,11.8519
SHITOMASI, FREAK,3,16.3845,11.4126
SHITOMASI, FREAK,4,14.0764,13.3479
SHITOMASI, FREAK,5,12.7299,11.6402
SHITOMASI, FREAK,6,13.7511,14.2385
SHITOMASI, FREAK,7,13.7314,12.6612
SHITOMASI, FREAK,8,13.7901,12.1048
SHITOMASI, FREAK,9,12.059,11.8703
,,,,
BRISK, BRISK,0, ,
BRISK, BRISK,1,12.2891,12.8659
BRISK, BRISK,2,13.3547,16.5957
BRISK, BRISK,3,16.3845,12.7803
BRISK, BRISK,4,14.0764,14.8405
BRISK, BRISK,5,12.7299,28.6365
BRISK, BRISK,6,13.7511,17.8323
BRISK, BRISK,7,13.7314,15.5593
BRISK, BRISK,8,13.7901,15.9199
BRISK, BRISK,9,12.059,13.9678
,,,,
BRISK, BRIEF,0, ,
BRISK, BRIEF,1,12.2891,10.1889
BRISK, BRIEF,2,13.3547,16.1327
BRISK, BRIEF,3,16.3845,11.5662
BRISK, BRIEF,4,14.0764,17.8398
BRISK, BRIEF,5,12.7299,20.4757
BRISK, BRIEF,6,13.7511,20.6042
BRISK, BRIEF,7,13.7314,14.0882
BRISK, BRIEF,8,13.7901,19.1151
BRISK, BRIEF,9,12.059,14.6993
,,,,
BRISK, ORB,0, ,
BRISK, ORB,1,12.2891,11.7327
BRISK, ORB,2,13.3547,15.829
BRISK, ORB,3,16.3845,14.2885
BRISK, ORB,4,14.0764,17.1298
BRISK, ORB,5,12.7299,23.8766
BRISK, ORB,6,13.7511,19.9254
BRISK, ORB,7,13.7314,12.1339
BRISK, ORB,8,13.7901,16.622
BRISK, ORB,9,12.059,15.1317
,,,,
BRISK, FREAK,0, ,
BRISK, FREAK,1,12.2891,11.2939
BRISK, FREAK,2,13.3547,19.6872
BRISK, FREAK,3,16.3845,12.2048
BRISK, FREAK,4,14.0764,14.8405
BRISK, FREAK,5,12.7299,19.9198
BRISK, FREAK,6,13.7511,23.0077
BRISK, FREAK,7,13.7314,12.0534
BRISK, FREAK,8,13.7901,15.3088
BRISK, FREAK,9,12.059,17.9749
